Chromosome	Position
chr12	72798975
chr12	73595295
chr12	73701043
chr12	74524578
chr12	79431671
chr12	89319078
chr12	91409633
chr12	91535749
chr12	92261743
chr12	94283298
chr12	94996544
chr12	96370004
chr12	101567805
chr12	102181463
chr12	102535571
chr12	105078343
chr12	106945051
chr12	109883897
chr12	110043680
chr12	110738361
chr12	125029815
chr12	125819987
chr12	130022731
chr12	130654411
chr12	131633936
chr12	131742650
chr12	133430248
chr12	133715075
chr10	57324317
chr10	58130410
chr10	58636382
chr10	60562794
chr10	62268454
chr10	62350645
chr10	62712792
chr10	63291469
chr10	66451059
chr10	68368576
chr10	68879134
chr10	71047158
chr10	71566828
chr10	77855291
chr10	79248873
chr10	79974339
chr10	80202542
chr10	80282667
chr10	80376594
chr10	81655315
chr10	82517450
chr10	85991318
chr10	86768903
chr10	87809297
chr10	88299240
chr10	88397876
chr10	88844313
chr10	90435809
chr10	91183959
chr10	93744787
chr10	95462756
chr10	95634882
chr10	96046765
chr10	97361275
chr10	97873993
chr10	99472071
chr10	110239073
chr10	117735508
chr10	120603811
chr10	121474774
chr10	122049753
chr10	123592009
chr10	125923311
chr10	128717630
chr10	132286525
chr10	133316296
chr10	134046547
chr4	164929984
chr4	165899990
chr4	167463432
chr4	169457975
chr4	170816169
chr4	171189406
chr4	172112797
chr4	172766660
chr4	173011371
chr4	174463364
chr4	175239734
chr4	177779496
chr4	178211361
chr4	181083351
chr4	184883809
chr4	186430510
chr4	186939388
chr4	187210176
chr4	189141313
chr4	189773371
chr4	190565466
chr3	79777664
chr3	79933832
chr3	80070762
chr3	81501203
chr3	89014554
chr3	91432040
chr3	92281843
chr3	99561735
chr3	99980048
chr3	100196613
chr3	101583764
chr3	103343646
chr3	104294164
chr3	104955548
chr3	105056412
chr3	105516037
chr3	105891156
chr3	106688847
chr3	107886423
chr3	110326674
chr3	110461889
chr3	111827505
chr3	112196243
chr3	112820886
chr3	113170579
chr3	113984983
chr3	114126085
chr3	114468349
chr3	118076347
chr3	118624732
chr3	123392073
chr3	123672314
chr3	125224179
chr3	125604368
chr3	125687156
chr3	134036966
chr3	134823268
chr3	136116091
chr3	136120656
chr3	142399234
chr3	143834403
chr3	143991188
chr3	150337809
chr3	150419524
chr3	151469680
chr3	158142753
chr3	165361206
chr3	166447614
chr3	170367604
chr3	175989140
chr3	176741808
chr3	178371298
chr3	180975986
chr3	181954960
chr3	182919784
chr3	187012700
chr3	189098249
chr3	189676440
chr3	190935815
chr3	193274401
chr3	193569019
chr3	193921907
chr8	91904653
chr8	93771111
chr8	100206863
chr8	100558483
chr8	101840451
chr8	101876618
chr8	105388632
chr8	106576406
chr8	107633812
chr8	108593012
chr8	109046288
chr8	111267146
chr8	114827229
chr8	126902958
chr8	134627724
chr8	135537757
chr8	135686965
chr8	137654498
chr8	138647068
chr8	139521580
chr8	139932441
chr8	140222489
chr8	141367316
chr8	145697095
chr8	145909227
chr2	125669869
chr2	129285144
chr2	130312240
chr2	131136477
chr2	131201326
chr2	131232121
chr2	133659193
chr2	134751901
chr2	135508128
chr2	136513252
chr2	136838671
chr2	138999223
chr2	143068186
chr2	144330793
chr2	144459378
chr2	146979989
chr2	147695077
chr2	147850505
chr2	152110828
chr2	156295094
chr2	157090736
chr2	157305319
chr2	162635959
chr2	163599156
chr2	165660329
chr2	168544256
chr2	168946348
chr2	170462998
chr2	170876820
chr2	177026217
chr2	177227165
chr2	177432467
chr2	178057011
chr2	178354248
chr2	191957256
chr2	193806436
chr2	194226964
chr2	194330491
chr2	194508698
chr2	194545849
chr2	195702325
chr2	197267362
chr2	197638287
chr2	204319988
chr2	207511518
chr2	207617813
chr2	208185681
chr2	211112524
chr2	211614449
chr2	212304317
chr2	212799104
chr2	213327957
chr2	213406367
chr2	218931512
chr2	219886325
chr2	219896381
chr2	220536597
chr2	220924739
chr2	222919998
chr2	223811435
chr2	225745924
chr2	226156847
chr2	227143773
chr2	227650318
chr2	233180641
chr2	233239615
chr2	233581074
chr2	236723342
chrX	129985194
chrX	130291753
chrX	130764226
chrX	130774291
chrX	131032734
chrX	136874005
chrX	139309926
chrX	143230137
chrX	145388478
chrX	146855074
chrX	147769540
chrX	151788747
chrX	152306794
chrX	154075790
chr1	62566363
chr1	63216728
chr1	73921105
chr1	74441726
chr1	74768613
chr1	75444764
chr1	76383265
chr1	78445817
chr1	83223716
chr1	89400898
chr1	90012012
chr1	91067055
chr1	91436245
chr1	91530047
chr1	92040466
chr1	94146594
chr1	95394774
chr1	97583020
chr1	97692231
chr1	98128564
chr1	98822928
chr1	98919393
chr1	103018011
chr1	105426079
chr1	106233302
chr1	106741490
chr1	107408103
chr1	108159113
chr1	122096844
chr1	123334960
chr1	123443572
chr1	126212311
chr1	126648919
chr1	129721201
chr1	130160994
chr1	130217858
chr1	130653666
chr1	130757661
chr1	133780308
chr1	135724319
chr1	136102242
chr1	136161611
chr1	139585198
chr1	139989814
chr1	140106322
chr1	141295382
chr1	142089564
chr1	145364026
chr1	145677039
chr1	145722016
chr1	146173409
chr1	146941885
chr1	149682483
chr1	150378237
chr1	152536708
chr1	155134108
chr1	157943808
chr1	158065251
chr1	159513228
chr1	159600662
chr1	159613987
chr1	160665742
chr1	162831044
chr1	168995651
chr1	174059479
chr1	174364587
chr1	174682131
chr1	176120098
chr1	176837731
chr1	179104438
chr1	181444208
chr1	183997828
chr1	184109249
chr1	185996993
chr1	186826495
chr1	187317908
chr1	188980921
chr1	192317574
chr1	192764684
chr1	193866600
chr1	195414680
chr1	195587586
chr1	196198420
chr1	201875804
chr1	203178591
chr1	212883212
chr1	213716675
chr1	217727202
chr1	218037738
chr7	143029763
chr7	144370346
chr7	147885334
chr7	149245404
chr7	150754528
chr7	154292875
chr7	156386915
chr7	156405004
chr7	158422788
chr5	169698460
chr5	171990113
chr5	172466573
chr5	172687451
chr5	172837536
chr5	176993470
chr5	177205297
chr5	177629425
chr6	24612562
chr6	25628179
chr6	26893274
chr6	30650843
chr6	31953271
chr6	37562813
chr6	37623059
chr6	60832308
chr6	62036759
chr6	63143591
chr6	63719852
chr6	64019990
chr6	64918660
chr6	65667931
chr6	66246848
chr6	67156224
chr6	67706851
chr6	68324448
chr6	72400287
chr6	74445328
chr6	74502168
chr6	74961967
chr6	81417953
chr6	86759291
chr6	88330136
chr6	88995282
chr6	89039717
chr6	93848057
chr6	94714814
chr6	95481667
chr6	95584652
chr6	96486960
chr6	96530300
chr6	97358778
chr6	98102984
chr6	98150624
chr6	98953140
chr6	102945923
chr6	123266904
chr6	123957907
chr6	124487124
chr6	126757838
chr6	128018239
chr6	128829153
chr6	129513597
chr6	130017556
chr6	132524683
chr6	132567446
chr6	132880458
chr6	133062842
chr6	133111285
chr6	134166532
chr6	139478198
chr6	142851090
chr6	143132808
chr6	144600884
chr6	145098457
chr6	146077437
chr6	146222989
chr6	150209736
chr6	151588175
chr6	153168758
chr6	153998288
chr6	162254186
chr6	164029672
chr6	165376973
chr6	167512009
chr6	167908908
chr6	168126238
chr6	168375687
chr6	168834186
chr6	169075530
chr11	66517000
chr11	69280796
chr11	71184501
chr11	71733334
chr11	72629575
chr11	74343348
chr11	75650426
chr11	77125133
chr11	77328152
chr11	77577563
chr11	78377988
chr11	78718335
chr11	79396822
chr11	81037216
chr11	81393087
chr11	83162727
chr11	84491833
chr11	84895768
chr11	85610255
chr11	86906604
chr11	100760816
chr11	101682460
chr11	102194263
chr11	109043419
chr11	109076873
chr11	110800872
chr11	110981250
chr11	112211170
chr11	113209160
chr11	113510535
chr11	116810163
chr11	123523144
chr11	124558743
chr11	125545848
chr11	125854286
chr11	126413105
chr11	126659207
chr11	126877906
chr11	127190635
chr11	127950537
chr11	128535918
chr11	129163568
chr11	129670145
chr11	130750355
chr17	8929411
chr17	9631286
chr17	9976387
chr17	10898056
chr17	11266668
chr17	13084429
chr17	19691509
chr17	22043709
chr17	22115200
chr17	22804172
chr17	23199164
chr17	24092229
chr17	25246825
chr17	29439840
chr17	30006320
chr17	30560837
chr17	32972610
chr17	33926494
chr17	34022179
chr17	34734783
chr17	35022748
chr17	49438916
chr17	49749469
chr17	51512732
chr17	61285606
chr17	62101837
chr17	63442931
chr17	64320027
chr17	64375683
chr17	69601146
chr17	69741931
chr17	73078786
chr17	75617286
chr17	76064081
chr17	77066728
chr17	77449943
chr20	31473686
chr20	32776929
chr20	34001731
chr20	34656894
chr20	35305279
chr20	35604350
chr20	38384124
chr20	39585315
chr20	42604348
chr20	44216343
chr20	44409880
chr20	46544371
chr20	46996786
chr20	54067895
chr20	54614550
chr15	28257405
chr15	28323056
chr15	30646917
chr15	32951215
chr15	33310725
chr15	33774919
chr15	35915537
chr15	37627408
chr15	38623524
chr15	40980099
chr15	43869565
chr15	44703471
chr15	47374432
chr15	50166493
chr15	50728309
chr15	51710422
chr15	52171047
chr15	63344599
chr15	64141872
chr15	68528405
chr15	75929574
chr15	77650145
chr15	78304366
chr15	85165237
chr15	85468224
chr15	86767780
chr15	86796847
chr15	88115188
chr15	88209249
chr15	88299809
chr15	89012849
chr15	92572551
chr15	94196420
chr15	101475681
chr9	9762569
chr9	12756802
chr9	16290818
chr9	17201924
chr9	18409370
chr9	18501681
chr9	18592881
chr9	19430299
chr9	21284419
chr9	21588005
chr9	21940563
chr9	23462268
chr9	25327075
chr9	30868153
chr9	33950688
chr9	36430398
chr9	42257074
chr9	42539192
chr9	44093992
chr9	45838850
chr9	46070367
chr9	49101992
chr9	51912231
chr9	55237715
chr9	55725091
chr9	57083542
chr9	57755290
chr9	58599999
chr9	63358306
chr9	73237480
chr9	73956309
chr9	74518331
chr9	75178573
chr9	78301499
chr9	79590988
chr9	79978061
chr9	87417995
chr9	90485484
chr9	91098305
chr9	91693144
chr9	94522617
chr9	95317373
chr9	101871473
chr9	104100999
chr9	104321643
chr9	114173110
chr9	116733904
chr16	78602710
chr16	79418797
chr16	81342822
chr16	81609384
chr16	81659583
chr16	82111424
chr16	83296806
chr16	83901791
chr16	87602042
chr16	89349302
chr16	89901664
chr18	50811638
chr18	51944418
chr18	55498808
chr18	55801695
chr18	56526289
chr18	60359224
chr18	61373824
chr18	64326301
chr18	64917209
chr18	70411660
chr18	71087584
chr18	71859600
chr18	76215890
chr21	38253680
chr21	39059418
chr21	39730898
chr21	41086613
chr21	42594710
chr21	43255479
chr21	43925593
chr21	44284566
chr21	47152783
chr21	47745263
chr14	39550312
chr14	39936531
chr14	40463748
chr14	40860115
chr14	41811840
chr14	42343101
chr14	42824333
chr14	43161471
chr14	44236333
chr14	46132980
chr14	46789837
chr14	47669492
chr14	48050520
chr14	49732566
chr14	50900622
chr14	53753822
chr14	54354506
chr14	54497508
chr14	54538517
chr14	55914854
chr14	55956709
chr14	56932596
chr14	57970602
chr14	62030185
chr14	63878970
chr14	64172374
chr14	64663962
chr14	66124692
chr14	75512915
chr14	76192765
chr14	78985788
chr14	80102784
chr13	93136100
